id	url	status	started_at	completed_at	report_num	score	error	retries
2	https://job-boards.greenhouse.io/anthropic/jobs/5103078008	failed	2026-05-06T16:03:44Z	2026-05-06T16:03:45Z	001	-	Credit balance is too low 	1
1	https://job-boards.greenhouse.io/anthropic/jobs/5156057008	failed	2026-05-06T16:03:44Z	2026-05-06T16:03:45Z	002	-	Credit balance is too low 	1
4	https://job-boards.greenhouse.io/anthropic/jobs/5191226008	failed	2026-05-06T16:03:47Z	2026-05-06T16:03:48Z	003	-	Credit balance is too low 	1
3	https://job-boards.greenhouse.io/anthropic/jobs/5195866008	failed	2026-05-06T16:03:47Z	2026-05-06T16:03:48Z	004	-	Credit balance is too low 	1
6	https://job-boards.greenhouse.io/airtable/jobs/8434287002	failed	2026-05-06T16:03:50Z	2026-05-06T16:03:51Z	005	-	Credit balance is too low 	1
5	https://job-boards.greenhouse.io/intercom/jobs/7807847	failed	2026-05-06T16:03:50Z	2026-05-06T16:03:51Z	006	-	Credit balance is too low 	1
8	https://job-boards.greenhouse.io/airtable/jobs/8434307002	failed	2026-05-06T16:03:53Z	2026-05-06T16:03:54Z	007	-	Credit balance is too low 	1
7	https://job-boards.greenhouse.io/airtable/jobs/8470036002	failed	2026-05-06T16:03:53Z	2026-05-06T16:03:54Z	008	-	Credit balance is too low 	1
10	https://jobs.ashbyhq.com/elevenlabs/4d12e97f-e637-49f1-a39c-7f32d6d364bb	failed	2026-05-06T16:03:56Z	2026-05-06T16:03:57Z	009	-	Credit balance is too low 	1
9	https://jobs.ashbyhq.com/lindy/e56a424d-5a40-450b-8978-cd5e7c86deed	failed	2026-05-06T16:03:56Z	2026-05-06T16:03:57Z	010	-	Credit balance is too low 	1
12	https://jobs.ashbyhq.com/cohere/9baccd88-c051-474f-bfe8-6867fca54cee	failed	2026-05-06T16:03:59Z	2026-05-06T16:04:00Z	011	-	Credit balance is too low 	1
11	https://jobs.ashbyhq.com/decagon/522cc0c1-67ce-4eaa-93cc-16a1a21a2566	failed	2026-05-06T16:03:59Z	2026-05-06T16:04:00Z	012	-	Credit balance is too low 	1
13	https://jobs.ashbyhq.com/sierra/422cb7bb-ab03-447b-808c-6d72f59bbd2f	failed	2026-05-06T16:04:02Z	2026-05-06T16:04:03Z	013	-	Credit balance is too low 	1
